id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,gene,cell
"MOXD2P_T cell, CD8, naive",Wald_ratio,1,-0.32476244,0.140869991,NA,NA,0.021143879,NA,NA,NA,NA,NA,NA,NA,-0.600867623,-0.048657256,0.722699018,0.548335681,0.95250754,0.817593512,Esophageal cancer,finn-b-C3_OESOPHAGUS,MOXD2P,"T cell, CD8, naive"
"RQCD1_T cell, CD4, memory TREG",Wald_ratio,1,0.336543551,0.12655315,NA,NA,0.007830181,NA,NA,NA,NA,NA,NA,NA,0.088499377,0.584587726,1.400099844,1.092533571,1.79425111,0.815179919,Esophageal cancer,finn-b-C3_OESOPHAGUS,RQCD1,"T cell, CD4, memory TREG"
"RP11-231C14.4_Monocyte, classical",Wald_ratio,1,0.277244721,0.107569164,NA,NA,0.009955751,NA,NA,NA,NA,NA,NA,NA,0.066409158,0.488080283,1.319489238,1.068663881,1.62918564,0.815179919,Esophageal cancer,finn-b-C3_OESOPHAGUS,RP11-231C14.4,"Monocyte, classical"
"RP11-347C12.2_T cell, CD4, naive",Wald_ratio,1,0.251911928,0.097740204,NA,NA,0.009955751,NA,NA,NA,NA,NA,NA,NA,0.060341128,0.443482729,1.28648273,1.06219883,1.558124304,0.815179919,Esophageal cancer,finn-b-C3_OESOPHAGUS,RP11-347C12.2,"T cell, CD4, naive"
"SFT2D1_T cell, CD4, TH2",Wald_ratio,1,-0.204068084,0.096973308,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.394135768,-0.014000401,0.815406853,0.674262507,0.986097149,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD4, TH2"
"SFT2D1_T cell, CD4, TH17",Wald_ratio,1,-0.191831135,0.0911583,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.370501404,-0.013160866,0.825446246,0.690388081,0.986925359,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD4, TH17"
"SFT2D1_Monocyte, classical",Wald_ratio,1,-0.200158168,0.095115313,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.386584181,-0.013732155,0.818601266,0.679373533,0.986361701,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"Monocyte, classical"
"SFT2D1_T cell, CD4, memory TREG",Wald_ratio,1,-0.203256338,0.096587565,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.392567966,-0.01394471,0.816069025,0.675320446,0.986152067,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD4, memory TREG"
"SFT2D1_T cell, CD4, TFH",Wald_ratio,1,-0.218327808,0.103749539,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.421676905,-0.014978711,0.803861886,0.655945938,0.985132912,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD4, TFH"
"SFT2D1_T cell, CD4, naive TREG",Wald_ratio,1,-0.201731935,0.095863168,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.389623744,-0.013840126,0.817313992,0.677311669,0.986255208,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD4, naive TREG"
"SFT2D1_T cell, CD8, naive",Wald_ratio,1,-0.194108408,0.092240462,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.374899714,-0.013317102,0.823568618,0.687358208,0.986771178,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD8, naive"
"SFT2D1_T cell, CD4, naive",Wald_ratio,1,-0.20597793,0.097880868,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.397824431,-0.014131429,0.813851038,0.671779961,0.985967951,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD4, naive"
"HNRNPA1P49_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.223377476,0.106149146,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.431429801,-0.015325151,0.799812882,0.649579661,0.984791682,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,HNRNPA1P49,"T cell, CD4, TH1 TH17"
"SFT2D1_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.176440553,0.083844684,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.340776135,-0.012104972,0.838248609,0.711218107,0.987967998,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD4, TH1 TH17"
"SFT2D1_T cell, CD4, TH1",Wald_ratio,1,-0.192222844,0.091344441,NA,NA,0.035345857,NA,NA,NA,NA,NA,NA,NA,-0.371257948,-0.01318774,0.825122974,0.689865969,0.986898837,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,SFT2D1,"T cell, CD4, TH1"
"P2RX1_Monocyte, classical",Wald_ratio,1,-0.291949423,0.108696371,NA,NA,0.007233107,NA,NA,NA,NA,NA,NA,NA,-0.50499431,-0.078904535,0.746806307,0.603509009,0.924128142,0.815179919,Esophageal cancer,finn-b-C3_OESOPHAGUS,P2RX1,"Monocyte, classical"
"RP11-203M5.7_T cell, CD8, naive",Wald_ratio,1,0.316965105,0.113235843,NA,NA,0.005123594,NA,NA,NA,NA,NA,NA,NA,0.095022852,0.538907357,1.372954661,1.099683985,1.714132903,0.815179919,Esophageal cancer,finn-b-C3_OESOPHAGUS,RP11-203M5.7,"T cell, CD8, naive"
"RP1-97J1.2_Monocyte, non-classical",Wald_ratio,1,-0.199019658,0.100080787,NA,NA,0.04674647,NA,NA,NA,NA,NA,NA,NA,-0.395178,-0.002861315,0.819533783,0.673560135,0.997142774,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,RP1-97J1.2,"Monocyte, non-classical"
"RP1-97J1.2_Monocyte, classical",Wald_ratio,1,-0.217657443,0.109453149,NA,NA,0.04674647,NA,NA,NA,NA,NA,NA,NA,-0.432185614,-0.003129272,0.804400948,0.649088885,0.996875619,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,RP1-97J1.2,"Monocyte, classical"
"DPYSL4_T cell, CD8, naive",Wald_ratio,1,-0.207851315,0.091223088,NA,NA,0.022697124,NA,NA,NA,NA,NA,NA,NA,-0.386648567,-0.029054063,0.812327809,0.679329792,0.971363948,0.824312842,Esophageal cancer,finn-b-C3_OESOPHAGUS,DPYSL4,"T cell, CD8, naive"
"DPYSL4_T cell, CD8, naive activated",Wald_ratio,1,-0.21592222,0.094765297,NA,NA,0.022697124,NA,NA,NA,NA,NA,NA,NA,-0.401662202,-0.030182238,0.805797975,0.669206764,0.970268698,0.824312842,Esophageal cancer,finn-b-C3_OESOPHAGUS,DPYSL4,"T cell, CD8, naive activated"
"TTLL2_T cell, CD4, memory TREG",Wald_ratio,1,-0.203998198,0.10076366,NA,NA,0.042916519,NA,NA,NA,NA,NA,NA,NA,-0.401494971,-0.006501426,0.81546384,0.669318686,0.993519663,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,TTLL2,"T cell, CD4, memory TREG"
"TTLL2_T cell, CD4, TH2",Wald_ratio,1,-0.224609872,0.110944669,NA,NA,0.042916519,NA,NA,NA,NA,NA,NA,NA,-0.442061424,-0.00715832,0.798827803,0.642710156,0.99286724,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,TTLL2,"T cell, CD4, TH2"
"TREM1_B cell, naive",Wald_ratio,1,0.245576218,0.109132181,NA,NA,0.024432192,NA,NA,NA,NA,NA,NA,NA,0.031677143,0.459475294,1.278357714,1.032184203,1.583243029,0.824312842,Esophageal cancer,finn-b-C3_OESOPHAGUS,TREM1,"B cell, naive"
"GPR180_T cell, CD4, naive TREG",Wald_ratio,1,0.203314649,0.091968923,NA,NA,0.027057409,NA,NA,NA,NA,NA,NA,NA,0.02305556,0.383573739,1.225457997,1.023323394,1.467519762,0.831736965,Esophageal cancer,finn-b-C3_OESOPHAGUS,GPR180,"T cell, CD4, naive TREG"
"GPR180_Monocyte, non-classical",Wald_ratio,1,0.194525977,0.087993387,NA,NA,0.027057409,NA,NA,NA,NA,NA,NA,NA,0.022058938,0.366993015,1.214735037,1.022304036,1.443387837,0.831736965,Esophageal cancer,finn-b-C3_OESOPHAGUS,GPR180,"Monocyte, non-classical"
"LIMK2_T cell, CD4, naive TREG",Wald_ratio,1,-0.227794661,0.102666473,NA,NA,0.026501467,NA,NA,NA,NA,NA,NA,NA,-0.429020948,-0.026568374,0.796287752,0.651146289,0.97378146,0.825686338,Esophageal cancer,finn-b-C3_OESOPHAGUS,LIMK2,"T cell, CD4, naive TREG"
"LIMK2_T cell, CD8, naive",Wald_ratio,1,-0.231048131,0.104132804,NA,NA,0.026501467,NA,NA,NA,NA,NA,NA,NA,-0.435148426,-0.026947836,0.793701263,0.647168603,0.973412017,0.825686338,Esophageal cancer,finn-b-C3_OESOPHAGUS,LIMK2,"T cell, CD8, naive"
"LIMK2_T cell, CD4, TH2",Wald_ratio,1,-0.225553529,0.1016564,NA,NA,0.026501467,NA,NA,NA,NA,NA,NA,NA,-0.424800074,-0.026306984,0.798074339,0.653900504,0.97403603,0.825686338,Esophageal cancer,finn-b-C3_OESOPHAGUS,LIMK2,"T cell, CD4, TH2"
"LIMK2_T cell, CD4, naive",Wald_ratio,1,-0.22359737,0.100774765,NA,NA,0.026501467,NA,NA,NA,NA,NA,NA,NA,-0.421115908,-0.026078831,0.799637028,0.656314025,0.974258285,0.825686338,Esophageal cancer,finn-b-C3_OESOPHAGUS,LIMK2,"T cell, CD4, naive"
"ZNF211_B cell, naive",Wald_ratio,1,0.42296326,0.159187346,NA,NA,0.00788358,NA,NA,NA,NA,NA,NA,NA,0.110956062,0.734970458,1.526478212,1.117345812,2.085420384,0.815179919,Esophageal cancer,finn-b-C3_OESOPHAGUS,ZNF211,"B cell, naive"
"MCC_B cell, naive",Wald_ratio,1,0.260077615,0.095850441,NA,NA,0.00666029,NA,NA,NA,NA,NA,NA,NA,0.07221075,0.44794448,1.297030752,1.074881851,1.5650918,0.815179919,Esophageal cancer,finn-b-C3_OESOPHAGUS,MCC,"B cell, naive"
"ABCC5_Monocyte, non-classical",Wald_ratio,1,0.235263694,0.112047305,NA,NA,0.035756836,NA,NA,NA,NA,NA,NA,NA,0.015650977,0.454876412,1.265242362,1.015774095,1.575978599,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,ABCC5,"Monocyte, non-classical"
"TNFSF12_Monocyte, non-classical",Wald_ratio,1,-0.21333496,0.10865569,NA,NA,0.04959931,NA,NA,NA,NA,NA,NA,NA,-0.426300113,-0.000369807,0.807885483,0.652920363,0.999630261,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,TNFSF12,"Monocyte, non-classical"
"INTS10_NK cell, CD56dim CD16+",Wald_ratio,1,0.24098922,0.115411928,NA,NA,0.036790712,NA,NA,NA,NA,NA,NA,NA,0.014781841,0.467196599,1.272507317,1.014891632,1.595515049,0.840441149,Esophageal cancer,finn-b-C3_OESOPHAGUS,INTS10,"NK cell, CD56dim CD16+"
"CKMT2-AS1_T cell, CD4, naive TREG",Wald_ratio,1,-0.214395111,0.078820593,NA,NA,0.006527416,NA,NA,NA,NA,NA,NA,NA,-0.368883475,-0.059906748,0.807029456,0.691505984,0.941852359,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,CKMT2-AS1,"T cell, CD4, naive TREG"
"CKMT2-AS1_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.241744683,0.088875438,NA,NA,0.006527416,NA,NA,NA,NA,NA,NA,NA,-0.415940541,-0.067548825,0.785256641,0.659719495,0.934682084,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,CKMT2-AS1,"T cell, CD4, TH1 TH17"
"CKMT2-AS1_T cell, CD4, TFH",Wald_ratio,1,-0.236289407,0.08686985,NA,NA,0.006527416,NA,NA,NA,NA,NA,NA,NA,-0.406554313,-0.0660245,0.789552139,0.665940925,0.93610793,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,CKMT2-AS1,"T cell, CD4, TFH"
"CKMT2-AS1_B cell, naive",Wald_ratio,1,-0.21765402,0.080018704,NA,NA,0.006527416,NA,NA,NA,NA,NA,NA,NA,-0.374490681,-0.060817359,0.804403701,0.687639418,0.940995088,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,CKMT2-AS1,"B cell, naive"
"CKMT2-AS1_T cell, CD4, naive",Wald_ratio,1,-0.233455381,0.085827944,NA,NA,0.006527416,NA,NA,NA,NA,NA,NA,NA,-0.401678152,-0.06523261,0.791792924,0.66919609,0.936849517,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,CKMT2-AS1,"T cell, CD4, naive"
"CKMT2-AS1_T cell, CD8, naive",Wald_ratio,1,-0.204984629,0.075360907,NA,NA,0.006527416,NA,NA,NA,NA,NA,NA,NA,-0.352692007,-0.057277251,0.814659839,0.702793616,0.944332216,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,CKMT2-AS1,"T cell, CD8, naive"
"CKMT2-AS1_Monocyte, non-classical",Wald_ratio,1,-0.245350392,0.090201047,NA,NA,0.006527416,NA,NA,NA,NA,NA,NA,NA,-0.422144444,-0.06855634,0.782430333,0.655639329,0.933740852,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,CKMT2-AS1,"Monocyte, non-classical"
"RP1-240B8.3_B cell, naive",Wald_ratio,1,-0.214437095,0.099801658,NA,NA,0.031663537,NA,NA,NA,NA,NA,NA,NA,-0.410048345,-0.018825844,0.806995575,0.663618167,0.981350255,0.811989654,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,RP1-240B8.3,"B cell, naive"
"SLC22A5_T cell, CD8, naive",Wald_ratio,1,0.308302042,0.098986609,NA,NA,0.001842049,NA,NA,NA,NA,NA,NA,NA,0.114288289,0.502315795,1.361112039,1.121075272,1.652543795,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,SLC22A5,"T cell, CD8, naive"
"SLC22A5_T cell, CD4, TH1 TH17",Wald_ratio,1,0.291102129,0.093464229,NA,NA,0.001842049,NA,NA,NA,NA,NA,NA,NA,0.107912241,0.474292018,1.337901216,1.113949982,1.606876155,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,SLC22A5,"T cell, CD4, TH1 TH17"
"SLC22A5_T cell, CD4, naive",Wald_ratio,1,0.287433327,0.092286285,NA,NA,0.001842049,NA,NA,NA,NA,NA,NA,NA,0.106552207,0.468314446,1.333001713,1.112436002,1.597299588,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,SLC22A5,"T cell, CD4, naive"
"SLC22A5_T cell, CD4, memory TREG",Wald_ratio,1,0.279989109,0.089896169,NA,NA,0.001842049,NA,NA,NA,NA,NA,NA,NA,0.103792618,0.4561856,1.323115403,1.109370368,1.578043203,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,SLC22A5,"T cell, CD4, memory TREG"
"CKMT2-AS1_T cell, CD4, TH17",Wald_ratio,1,-0.215553552,0.085950406,NA,NA,0.012145692,NA,NA,NA,NA,NA,NA,NA,-0.384016347,-0.047090756,0.806095101,0.681120293,0.954000812,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,CKMT2-AS1,"T cell, CD4, TH17"
"AC002451.3_Monocyte, non-classical",Wald_ratio,1,-0.285814254,0.09938924,NA,NA,0.004031247,NA,NA,NA,NA,NA,NA,NA,-0.480617163,-0.091011344,0.751402173,0.618401619,0.913007353,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,AC002451.3,"Monocyte, non-classical"
"TMEM63C_Monocyte, classical",Wald_ratio,1,0.236724684,0.099445986,NA,NA,0.017292222,NA,NA,NA,NA,NA,NA,NA,0.041810552,0.431638817,1.26709222,1.042696923,1.539778873,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,TMEM63C,"Monocyte, classical"
"PGPEP1_T cell, CD4, naive TREG",Wald_ratio,1,-0.259219979,0.118752608,NA,NA,0.029046332,NA,NA,NA,NA,NA,NA,NA,-0.491975091,-0.026464867,0.771653257,0.611417596,0.973882259,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PGPEP1,"T cell, CD4, naive TREG"
"OR2R1P_Monocyte, classical",Wald_ratio,1,0.21843284,0.082313846,NA,NA,0.007962436,NA,NA,NA,NA,NA,NA,NA,0.057097702,0.379767978,1.244125458,1.058759248,1.461945347,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,OR2R1P,"Monocyte, classical"
"EPHA1-AS1_Monocyte, classical",Wald_ratio,1,0.18777131,0.070759409,NA,NA,0.007962436,NA,NA,NA,NA,NA,NA,NA,0.049082868,0.326459752,1.206557556,1.050307384,1.386052462,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,EPHA1-AS1,"Monocyte, classical"
"FAM115D_Monocyte, non-classical",Wald_ratio,1,0.223933831,0.08438683,NA,NA,0.007962436,NA,NA,NA,NA,NA,NA,NA,0.058535645,0.389332018,1.250988241,1.060282779,1.475994527,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,FAM115D,"Monocyte, non-classical"
"TAS2R41_Monocyte, classical",Wald_ratio,1,0.252019206,0.094970473,NA,NA,0.007962436,NA,NA,NA,NA,NA,NA,NA,0.065877079,0.438161333,1.286620748,1.068095418,1.54985493,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,TAS2R41,"Monocyte, classical"
"OR2R1P_Monocyte, non-classical",Wald_ratio,1,0.259481656,0.097782609,NA,NA,0.007962436,NA,NA,NA,NA,NA,NA,NA,0.067827742,0.451135571,1.296258005,1.070180945,1.570094126,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,OR2R1P,"Monocyte, non-classical"
"TAS2R60_Monocyte, non-classical",Wald_ratio,1,0.246352476,0.092835032,NA,NA,0.007962436,NA,NA,NA,NA,NA,NA,NA,0.064395813,0.428309139,1.279350434,1.066514455,1.534660431,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,TAS2R60,"Monocyte, non-classical"
"EPHA1-AS1_Monocyte, non-classical",Wald_ratio,1,0.194853644,0.073428303,NA,NA,0.007962436,NA,NA,NA,NA,NA,NA,NA,0.050934169,0.338773118,1.215133131,1.052253621,1.403224943,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,EPHA1-AS1,"Monocyte, non-classical"
"SPON1_T cell, CD4, TFH",Wald_ratio,1,0.240374197,0.088508645,NA,NA,0.006611039,NA,NA,NA,NA,NA,NA,NA,0.066897253,0.41385114,1.271724937,1.069185617,1.51263194,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,SPON1,"T cell, CD4, TFH"
"SPON1_T cell, CD4, TH17",Wald_ratio,1,0.294165797,0.108315353,NA,NA,0.006611039,NA,NA,NA,NA,NA,NA,NA,0.081867705,0.506463888,1.342006385,1.085312219,1.659412938,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,SPON1,"T cell, CD4, TH17"
"IFITM2_T cell, CD8, naive",Wald_ratio,1,-0.306191678,0.113829183,NA,NA,0.007146862,NA,NA,NA,NA,NA,NA,NA,-0.529296876,-0.08308648,0.736245484,0.589018977,0.920271559,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,IFITM2,"T cell, CD8, naive"
"ZNF682_T cell, CD8, naive activated",Wald_ratio,1,-0.349010727,0.119732732,NA,NA,0.003557855,NA,NA,NA,NA,NA,NA,NA,-0.583686881,-0.114334572,0.705385564,0.557837888,0.891959482,0.684666283,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,ZNF682,"T cell, CD8, naive activated"
"PPIE_T cell, CD4, TFH",Wald_ratio,1,-0.146516615,0.062245621,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.268518031,-0.024515198,0.863711382,0.764511638,0.975782859,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, TFH"
"PPIE_T cell, CD8, naive activated",Wald_ratio,1,-0.149919189,0.063691159,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.274753861,-0.025084518,0.860777534,0.759759107,0.975227484,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD8, naive activated"
"PPIE_NK cell, CD56dim CD16+",Wald_ratio,1,-0.149280749,0.063419926,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.273583805,-0.024977694,0.861327264,0.760648588,0.975331668,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"NK cell, CD56dim CD16+"
"PPIE_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.143176925,0.060826798,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.262397449,-0.0239564,0.866600732,0.769205243,0.976328276,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, TH1 TH17"
"PPIE_T cell, CD4, TH2",Wald_ratio,1,-0.144946627,0.061578632,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.265640746,-0.024252507,0.865068463,0.766714523,0.976039221,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, TH2"
"PPIE_T cell, CD4, TH17",Wald_ratio,1,-0.146694738,0.062321294,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.268844474,-0.024545002,0.863557548,0.764262109,0.975753777,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, TH17"
"PPIE_T cell, CD4, memory TREG",Wald_ratio,1,-0.149723237,0.063607911,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.274394743,-0.025051731,0.860946221,0.760031999,0.975259459,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, memory TREG"
"PPIE_T cell, CD4, naive",Wald_ratio,1,-0.149955396,0.063706541,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.274820215,-0.025090576,0.860746369,0.759708695,0.975221576,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, naive"
"PPIE_T cell, CD4, naive TREG",Wald_ratio,1,-0.144460421,0.061372074,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.264749687,-0.024171155,0.865489167,0.767398015,0.976118627,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, naive TREG"
"BMP8B_T cell, CD4, naive",Wald_ratio,1,-0.200858184,0.085331908,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.368108724,-0.033607644,0.818028433,0.692041936,0.966950819,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,BMP8B,"T cell, CD4, naive"
"PPIE_B cell, naive",Wald_ratio,1,-0.1483021,0.06300416,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.271790253,-0.024813946,0.862170614,0.762014074,0.975491389,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"B cell, naive"
"PPIE_Monocyte, classical",Wald_ratio,1,-0.146837779,0.062382063,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.269106622,-0.024568936,0.863434033,0.764061786,0.975730424,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"Monocyte, classical"
"PPIE_T cell, CD4, TH1",Wald_ratio,1,-0.150939457,0.064124606,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.276623685,-0.025255229,0.859899758,0.758339818,0.975061016,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, TH1"
"PPIE_T cell, CD4, naive activated",Wald_ratio,1,-0.152965878,0.064985504,NA,NA,0.018580299,NA,NA,NA,NA,NA,NA,NA,-0.280337465,-0.025594291,0.858159003,0.755528734,0.974730467,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,PPIE,"T cell, CD4, naive activated"
"THNSL2_T cell, CD4, naive TREG",Wald_ratio,1,0.264706664,0.134172254,NA,NA,0.048508465,NA,NA,NA,NA,NA,NA,NA,0.001729046,0.527684282,1.303048688,1.001730542,1.695002612,0.873712793,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,THNSL2,"T cell, CD4, naive TREG"
"ZNHIT6_T cell, CD4, TH1 TH17",Wald_ratio,1,0.233547909,0.109148171,NA,NA,0.032376376,NA,NA,NA,NA,NA,NA,NA,0.019617494,0.447478325,1.26307334,1.019811181,1.564362394,0.824135963,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,ZNHIT6,"T cell, CD4, TH1 TH17"
"ZNHIT6_T cell, CD4, TFH",Wald_ratio,1,0.244757998,0.114387185,NA,NA,0.032376376,NA,NA,NA,NA,NA,NA,NA,0.020559116,0.46895688,1.277312164,1.02077191,1.598326078,0.824135963,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,ZNHIT6,"T cell, CD4, TFH"
"NMI_T cell, CD4, TFH",Wald_ratio,1,-0.208577447,0.09480793,NA,NA,0.027806895,NA,NA,NA,NA,NA,NA,NA,-0.39440099,-0.022753903,0.811738166,0.674083701,0.977503014,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,NMI,"T cell, CD4, TFH"
"NMI_T cell, CD8, naive",Wald_ratio,1,-0.149414585,0.06791572,NA,NA,0.027806895,NA,NA,NA,NA,NA,NA,NA,-0.282529397,-0.016299773,0.861211995,0.75387448,0.98383235,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,NMI,"T cell, CD8, naive"
"SRGAP2C_B cell, naive",Wald_ratio,1,0.205505191,0.089973456,NA,NA,0.022367731,NA,NA,NA,NA,NA,NA,NA,0.029157218,0.381853164,1.228145356,1.029586451,1.464996955,0.798552376,Liver cancer,finn-b-C3_LIVER_INTRAHEPATIC_BILE_DUCTS,SRGAP2C,"B cell, naive"
